Test_Year,Used_Features,R2,RRMSE(%),d-index,MAPE(%),RMSE,MAE,Best_Params
2016,39,0.178,13.865,0.646,9.131,860.582,556.207,N/A (linear model)
2017,48,0.294,12.827,0.709,9.884,815.309,610.065,N/A (linear model)
2018,53,0.019,15.625,0.672,12.883,939.073,772.214,N/A (linear model)
2019,37,0.249,13.568,0.672,9.914,839.271,543.386,N/A (linear model)
2020,48,-0.223,14.213,0.675,12.259,867.905,693.227,N/A (linear model)
2021,47,-0.079,15.218,0.6,13.1,925.08,775.446,N/A (linear model)
Overall_Pooled,N/A,0.109,14.221,0.674,11.196,875.627,658.403,N/A
