Test_Year,Used_Features,R2,RRMSE(%),d-index,MAPE(%),RMSE,MAE,Best_Params
2016,33,0.22,13.507,0.636,8.934,838.314,537.681,"{'C': 4.6287, 'gamma': 0.003539, 'epsilon': 0.1}"
2017,33,0.285,12.909,0.686,10.302,820.502,638.098,"{'C': 4.9556, 'gamma': 0.032018, 'epsilon': 0.1}"
2018,33,0.432,11.882,0.734,9.081,714.089,499.516,"{'C': 5.6248, 'gamma': 0.003277, 'epsilon': 0.1}"
2019,35,0.353,12.591,0.667,9.722,778.828,546.124,"{'C': 7.3915, 'gamma': 0.07098, 'epsilon': 0.1}"
2020,33,0.151,11.847,0.724,10.02,723.436,547.955,"{'C': 4.9556, 'gamma': 0.032018, 'epsilon': 0.1}"
2021,33,0.522,10.129,0.782,8.316,615.707,445.879,"{'C': 4.9556, 'gamma': 0.032018, 'epsilon': 0.1}"
Overall_Pooled,N/A,0.342,12.216,0.7,9.397,752.179,535.891,N/A
