feature,year,n_samples,count,missing,zero_count,mean,std,min,p1,p5,p25,p50,p75,p95,p99,max
P1_WUE,2016,19829,19829,0,0,0.2684829395801429,0.16254300045471853,-0.014579368250016,0.07637946811006992,0.10900182841626696,0.1697430473736639,0.2335364475810932,0.3158865637686517,0.5514526735051776,0.8311518707646586,5.556636276016436
P1_Decoupling_Stress,2016,19829,19829,0,0,4.537002400138625,2.197749295967699,0.6199185463432513,1.1677614188479357,1.8234289918675597,2.5570565846641697,4.62957827231551,5.992579693383568,7.808787649685939,8.553734964265448,68.29432059129635
P1_Thermal_Efficiency,2016,19829,19829,0,0,0.0007416240355050365,0.0004876158006589265,-0.0002209744257786,0.000225837792530792,0.00029455524649542,0.0004339555397219,0.0005943705783447,0.0009211305689212,0.00157455396288786,0.0024191523584245474,0.015243504096548
P1_Hydrothermal_Balance,2016,19829,19829,0,0,4.8277480040574945,4.432463764497367,0.0194419084184808,0.6749434346964804,1.2561353894282925,3.652718442162992,4.473660068460725,5.933443224286761,8.181128928662115,9.458238829594626,562.1516418457031
P2_WUE,2016,19829,19829,0,0,0.2852865537914446,0.1503479324655053,-0.2103969548179472,0.06037120451951369,0.0992067177145572,0.174481362383565,0.2575477922493365,0.3675890057036524,0.5633918388173658,0.7396001904131576,2.2717719626122617
P2_Decoupling_Stress,2016,19829,19829,0,0,1.8433018633678382,0.8599783718574859,0.5261991000759921,0.9447370628555689,1.0679189495120969,1.3573679126364933,1.848356595580136,2.171284447787404,2.571305682711343,4.365569157834365,43.257219816286494
P2_Thermal_Efficiency,2016,19829,19829,0,0,0.0033531154962094805,0.0042062568419504905,-0.00010497515667,0.000864956766226356,0.00124935916046476,0.0020132553413551,0.0027756676775235,0.0039512216505174,0.007275726631586396,0.01040490471997416,0.3785314261913299
P2_Hydrothermal_Balance,2016,19829,19829,0,0,139.72072738057307,1176.7395697737666,5.399564389175325,6.066157416005263,9.716174305195917,15.441542921743824,22.81975201715484,180.0484275817871,492.13745880126953,773.3072021484387,148651.64263033224
P3_WUE,2016,19829,19829,0,0,0.5907836226290158,0.32846242896444044,-0.0109107444912446,0.11859276037803172,0.19021980959040696,0.3405118723275976,0.5196080060847439,0.7751054584675099,1.2263060772073178,1.534707943757436,5.478659428964745
P3_Decoupling_Stress,2016,19829,19829,0,0,5.878299889921582,3.460521004702562,0.6102234260474142,1.3596133005833124,1.5639038168352373,3.197956907393174,5.387530844449493,8.124630419721344,11.922983759785446,13.999406690795857,103.4002719144956
P3_Thermal_Efficiency,2016,19829,19829,0,0,0.0010938969366255955,0.0027608063261378843,0.0001015785792956,0.000316001297760688,0.0004309191633569,0.0007610974807057,0.0010289632748944,0.0012430141410019,0.0019578811100299394,0.002476978940267992,0.3176774026530889
P3_Hydrothermal_Balance,2016,19829,19829,0,0,3.8245916923335472,8.981025302472133,0.1597195941635258,0.4999360182494957,0.5763230274834534,1.7469919721995524,3.541626703606008,5.005169271270385,7.3000259877463005,11.934640993822311,708.0644989013672
P4_WUE,2016,19829,19829,0,0,0.932104620480825,0.38249522630624494,0.045424995694516,0.25777132932419455,0.3609252846188384,0.700930280774614,0.8821434944194093,1.1008672220968454,1.6720930832632266,2.06455257041511,5.0812557376908085
P4_Decoupling_Stress,2016,19829,19829,0,0,7.027404019032861,3.88712323798321,0.7974576938919546,1.8500243500858808,2.156654151621837,3.74256579478521,7.2654863561714595,9.10520660806062,13.149423567329157,15.184876659264207,150.20341756507682
P4_Thermal_Efficiency,2016,19829,19829,0,0,0.0021089097657237365,0.0005358874834721804,8.672946880363949e-05,0.001006045139070976,0.00142629494890138,0.0018226064383209,0.0020856133601085,0.0023453932831745,0.0028121996407344,0.0038809516867206258,0.0234054588842361
P4_Hydrothermal_Balance,2016,19829,19829,0,0,2.007622403261743,3.6231193663547656,0.1890248444827934,0.2845852154098711,0.3682176804126159,0.6573297851426797,1.0236314590111693,2.4246295419388844,7.207684596435688,9.840133620369016,348.5751342773437
P1_Drought_Vulnerability,2016,19829,19829,0,0,0.02419441317143414,0.01064615586176513,-9.543148983830235e-05,0.0078324044662401,0.01039059795268376,0.0155170720685484,0.0229624618606882,0.0308108899369322,0.04440401102296757,0.0539652990746088,0.0741971425572102
