Test_Year,n_features,n_estimators,max_depth,colsample_bynode,subsample
2016,55,150,10,0.3050892925821895,0.9909541041936158
2017,55,200,10,0.30552873999374397,0.611112261307997
2018,55,150,10,0.3006802572850849,0.6083654265933616
2019,55,150,10,0.31235069657748143,0.9879639408647978
2020,55,50,8,0.3587773648756701,0.6083654265933616
2021,55,100,9,0.301643157207394,0.8406341489062171
