stage,feature_group,n_features,n_years,R2,RMSE,MAE,MAPE,RRMSE,d_index
P4,Soil-Raw,3,6,0.1628296483245897,839.9076380421416,618.7601752513609,10.889609720520347,13.637967893825964,0.6116803925900943
P4,Meteorology-Raw,28,6,0.16610161740553278,839.1689437926035,639.0485254748919,10.87407356723835,13.619070279615899,0.6306842285266013
P4,RS-Raw,24,6,0.2262321880688306,808.4288354116161,591.5134714496315,10.25328977417761,13.118180919066477,0.6657882768006314
P4,Raw-All,55,6,0.30801792971533204,762.3277961523567,548.3724445751888,9.558236042950869,12.370120878832045,0.712359148043629
P4,Derived-Only,45,6,0.18745006086130425,827.0729985290735,623.4285269267499,10.776965833355847,13.420895426881083,0.6378977318889537
P4,Full-All,100,6,0.29544832619006983,768.6022980809362,556.588791612323,9.706991335933429,12.468785699396689,0.7078398132338101
