feature,count,missing,zero_count,mean,std,min,p1,p5,p25,p50,p75,p95,p99,max
P1_WUE,119385,0,0,0.3107301260240622,0.2342861005864653,-0.0675157442993394,0.07149712013158513,0.10732667082290741,0.1848721470374762,0.2619673689783054,0.3680669820712181,0.6706001048007937,1.041819236097801,10.60564873931191
P1_Decoupling_Stress,119385,0,0,4.4529505561938745,3.2010670125835587,0.4323826116359435,1.2012842741728436,1.5675701582625376,2.845249403190318,4.11281012048251,5.535668788861505,7.881319799930303,10.064477083386581,181.07788564467523
P1_Thermal_Efficiency,119385,0,0,0.0008287198516181461,0.0009121349754561631,-0.0017665990054245,0.000239614194465192,0.00031591659921614,0.0005126107511807,0.0007038847974523,0.001017189907392,0.0017087110752746796,0.0025164947539910803,0.253484308719635
P1_Hydrothermal_Balance,119385,0,0,3.541028730465039,3.740734104176219,0.0093510237209665,0.2461064143195716,0.49911080016591075,1.4071308832488734,2.953534175445604,4.895047971737459,8.692570202008097,10.99550796679923,562.1516418457031
P2_WUE,119385,0,0,0.40837891655405745,0.2614416875500451,-0.2103969548179472,0.0465366820504892,0.1073606772063488,0.2097495153225242,0.3422339930821248,0.5522903173696856,0.9221464377432211,1.1785818127975298,4.3314284480429786
P2_Decoupling_Stress,119385,0,0,2.07428963006405,1.4849800310828696,0.3516968003617918,0.8979149302969143,1.003995399556866,1.404074463462036,1.835677444426304,2.369552174552376,3.6996179055152494,5.146734150579943,63.486525806699966
P2_Thermal_Efficiency,119385,0,0,0.0039298664508097166,0.00836416549180815,-0.0042269676542714,0.0007183932091855,0.00115485580714048,0.0020375548432842,0.0028947388731573,0.0043862291886827,0.009471911910964758,0.01611888292483469,1.836473472878368
P2_Hydrothermal_Balance,119385,0,0,77.71469724861794,620.4575404828153,3.321755616677361,5.032687184349965,6.905111837241727,15.946459772340296,23.548818946115485,45.78241862455147,337.16168975830055,684.4092742919931,148651.64263033224
P3_WUE,119385,0,0,0.7313340522724391,0.4153173312083104,-0.0300643744035108,0.11805426740115257,0.1926413113695038,0.4032824507723448,0.6939794205419947,1.009360532418624,1.3919784914041344,1.6370859331272765,11.33567560684918
P3_Decoupling_Stress,119385,0,0,5.3829321327243775,4.040683440113223,0.3375199582418888,1.425909835192866,1.725638006843189,2.9754844665302285,4.7636230943632585,6.972415096312937,10.534583968575026,13.344336745016614,164.5884967156689
P3_Thermal_Efficiency,119385,0,0,0.0012684791793747747,0.0015088895209140298,-0.0010272317390454,0.000367748266892192,0.00055303426880932,0.0009780273991237,0.0012508571643324,0.0014923769127895,0.0020863858232668788,0.0024513415441202524,0.3176774026530889
P3_Hydrothermal_Balance,119385,0,0,5.2046110332401625,6.848679455882691,0.0856835471340578,0.5764550008998959,1.565004569896264,3.062054453059482,4.39492172644813,6.471217027795408,10.958247779053284,15.724450292530472,809.3228912353516
P4_WUE,119385,0,0,1.0693747649529348,0.5490333447780021,-0.0401931793909376,0.20924933783872604,0.35453576638321926,0.7065909882563316,0.981891392347073,1.347242974499364,2.0763933585720604,2.520675168202683,22.07939983136984
P4_Decoupling_Stress,119385,0,0,7.5818625464770415,6.161826723179204,0.541581226807896,1.9397078729783306,2.446114406675525,4.2674546500220885,6.66635268881291,9.67826613879114,15.327024008011664,18.993154517979516,470.6383247995848
P4_Thermal_Efficiency,119385,0,0,0.0023477479072743857,0.0011641851540313832,-0.0007846609641805,0.000798312217916108,0.00132998247153448,0.0019567506139397,0.0023391516360988,0.002702948332275,0.0033168050203773594,0.00414122875495422,0.2624698877334595
P4_Hydrothermal_Balance,119385,0,0,1.9539796383795334,2.5375471515112737,0.0016283993645395,0.03448133859148482,0.19899248011175683,0.8598442567268632,1.5254891029911404,2.60846863178693,5.034140244983773,8.123560969581568,348.5751342773437
P1_Drought_Vulnerability,119385,0,0,0.0243972941321966,0.010377280468496371,-0.0001116336118658,0.008133640092301768,0.01072369390856502,0.0168137848452054,0.0228937713708758,0.0302239253152433,0.04314145006746137,0.05456628812322777,0.1206801788424624
P1_Fertility_Vigor,119385,0,0,-1.5755386627442889,177.5792818415238,-13841.513125419617,1.0846185263760888,1.4926305080574416,2.54271027581558,3.851789401394967,6.433502384240454,14.460013567549408,22.75813134617692,4642.9401433467865
P2_Drought_Vulnerability,119385,0,0,0.01112560341732723,0.003715973735951965,-4.145173125930907e-05,0.0053141932311906994,0.0062197246455265,0.0082173937845387,0.0106049652500246,0.0134597273040536,0.017939594897495453,0.021101681607471938,0.0363427299988071
P2_Fertility_Vigor,119385,0,0,0.12256786896823045,156.07086190227355,-7600.347248196602,1.1219246805743321,1.8718425393203688,3.31447388528386,5.138767130781388,8.151113748791886,14.209961939885265,20.580411474107716,712.1098136007786
P3_Drought_Vulnerability,119385,0,0,0.02506695546660914,0.011810544980980308,-0.0001140684552563,0.008498243212417394,0.01055282080036186,0.0149151201195575,0.023375319504023,0.0328878001884684,0.04663295701886669,0.056887024297860814,0.1098858361262191
P3_Fertility_Vigor,119385,0,0,0.6595301261440611,197.46558720766046,-8148.121139645576,1.5876504954643444,2.554781592717487,4.876480514048297,7.350734151658116,11.359626870184911,17.48995069932936,24.12712899732141,606.4746470823878
P4_Drought_Vulnerability,119385,0,0,0.03923059170458351,0.019589935625528444,-0.0002058753217233,0.012530742395417026,0.01553971880421036,0.0229665005951789,0.0361878603523621,0.0509918482710023,0.07599702221633767,0.09505665721416315,0.1783931044616383
P4_Fertility_Vigor,119385,0,0,0.09415198475554036,245.93653979756874,-8882.85133588314,2.2604209395493213,3.9916196033663427,6.282903377137984,9.027657226932206,13.05458367088704,20.22237164542844,27.402773360050155,59.36322247605858
Cum_PPT_P1,119385,0,0,47.1898267204179,33.7313638542134,0.1936293542385101,3.385043210983276,7.20111951828003,20.07179832458496,39.84557342529297,64.98290252685547,114.76587677001953,146.06909606933613,217.467041015625
