test_year,feature_group,max_depth,colsample_bynode,subsample,n_estimators,n_features,inner_mae
2016,raw,8,0.302503643499681,0.6079618485834689,50,55,529.3485448144464
2017,raw,10,0.31235069657748143,0.9879639408647978,150,55,516.6513716296711
2018,raw,8,0.304528391589776,0.8878899049498932,50,55,558.4876039324919
2019,raw,10,0.31235069657748143,0.9879639408647978,150,55,553.47582708498
2020,raw,8,0.304528391589776,0.8878899049498932,50,55,551.0720746341708
2021,raw,10,0.304528391589776,0.9820366453934412,200,55,567.7605808266585
2016,raw_cum_delta,9,0.37619090640065234,0.9507167177637507,50,76,531.6461585614852
2017,raw_cum_delta,9,0.3050892925821895,0.9946464529053278,150,76,525.4645321574418
2018,raw_cum_delta,10,0.304528391589776,0.9820366453934412,200,76,568.8531811586828
2019,raw_cum_delta,7,0.33485016730091965,0.9464704583099741,50,76,575.6039896650714
2020,raw_cum_delta,7,0.4090949803242604,0.6733618039413735,200,76,563.4532500166563
2021,raw_cum_delta,10,0.3048809927051757,0.9907412339777351,200,76,583.8852738077561
2016,full,11,0.41980426929501585,0.8056937753654446,100,100,537.272402356221
2017,full,10,0.31235069657748143,0.9879639408647978,150,100,527.2925331772783
2018,full,10,0.3090807995033518,0.9946464529053278,200,100,564.1691906171803
2019,full,10,0.3048809927051757,0.9907412339777351,200,100,569.0249306736098
2020,full,7,0.33485016730091965,0.9464704583099741,50,100,558.6276139606183
2021,full,10,0.31235069657748143,0.9879639408647978,150,100,580.5198862435301
2016,full_all_ratio,9,0.5591670111852695,0.7164916560792167,100,80,532.823377796495
2017,full_all_ratio,9,0.3087317797387267,0.8788623593360378,150,80,525.1347848475359
2018,full_all_ratio,10,0.31235069657748143,0.9879639408647978,150,80,570.5719089334099
2019,full_all_ratio,7,0.33485016730091965,0.9464704583099741,50,80,570.3161365309853
2020,full_all_ratio,8,0.37087830317636844,0.7061096367639026,200,80,561.8892398151074
2021,full_all_ratio,9,0.3087063329480052,0.8788623593360378,200,80,582.233324952242
