feature,zone,n_samples,count,missing,zero_count,mean,std,min,p1,p5,p25,p50,p75,p95,p99,max
P1_WUE,1,1751,1751,0,0,0.9372660032273672,1.0517740324771516,0.0489870893848837,0.13978107374870036,0.19224296234566451,0.3273438791502753,0.686269883592194,1.0653037112260422,2.7245492732727103,5.492626017521584,10.60564873931191
P1_Decoupling_Stress,1,1751,1751,0,0,15.000328529100916,18.226274235214273,1.4054086181991687,2.0377074411557077,3.8848670237462146,6.300859355603462,9.52199620331714,14.160613484962079,50.6706416280271,103.54377082055046,181.07788564467523
P1_Thermal_Efficiency,1,1751,1751,0,0,0.0013636640313526467,0.0008531403464566319,0.0001669051694999,0.0002613036545731,0.00039012513871895,0.00065048866461065,0.0012671633128326,0.00180762475079785,0.0029273937911519,0.004069606194865551,0.007536193679305
P1_Hydrothermal_Balance,1,1751,1751,0,0,0.9663217998041181,1.5259891126366083,0.0093510237209665,0.020346293741070852,0.0534042383886058,0.22567238144658464,0.6327901838363225,1.2738474682328325,2.407472844769578,5.826811843091845,33.58303069754153
P2_WUE,1,1751,1751,0,0,0.43933146447018484,0.4343926379740354,-0.2103969548179472,-0.022014345656367097,0.10853669530233415,0.20618133258453455,0.3042607295913904,0.47672599888801725,1.2522117287755008,2.2744333850303997,4.3314284480429786
P2_Decoupling_Stress,1,1751,1751,0,0,7.467048592612787,8.649552150214165,0.589886509526176,0.874667824474431,1.4251853839323492,2.962095312675754,4.546451824579084,7.504626327797091,27.90912011775802,43.42634341797156,63.486525806699966
P2_Thermal_Efficiency,1,1751,1751,0,0,0.005411838734808561,0.018532462844524693,-0.0042269676542714,0.00060322753112715,0.0007885417121949,0.00125254923394425,0.0018951409757936,0.00356470994341905,0.0162985624587415,0.07528033056660825,0.2992272439957404
P2_Hydrothermal_Balance,1,1751,1751,0,0,367.814360280128,256.16073147064174,6.882184622301114,18.170161019709578,77.87679672241211,180.68124771118164,328.6586380004883,464.9480628967285,920.7698440551758,1155.898208618164,2850.4487229284823
P3_WUE,1,1751,1751,0,0,1.0222564803612049,1.4052185257790333,0.071279198266961,0.1252006922506205,0.17401628838669636,0.34457911872800784,0.6119700027934519,1.049334083711278,3.942356854920865,7.749407108364078,11.33567560684918
P3_Decoupling_Stress,1,1751,1751,0,0,17.86498274585347,20.926483275823394,1.2127894923388602,1.641904784506555,3.2344742695788855,6.443044297181598,11.085468618917243,17.253115534906115,64.26558528335069,108.93822050145249,164.5884967156689
P3_Thermal_Efficiency,1,1751,1751,0,0,0.0011083101967304236,0.0007485618687026121,0.0001331271150165,0.00016257865794645,0.0002003480949857,0.00060798296520705,0.0009896394610983,0.0013706651478922,0.00258482138878765,0.00385967573127385,0.0063529347069043
P3_Hydrothermal_Balance,1,1751,1751,0,0,4.545193760527955,13.932277345299314,0.0856835471340578,0.22206727148963265,0.33334155292768686,1.0009700429019275,2.18555836943641,4.721589988921622,16.01292210117265,29.625011216515574,506.73072814941406
P4_WUE,1,1751,1751,0,0,1.6573253460435586,1.7812728367265895,0.1293180147981937,0.1774891316041905,0.2104455305309181,0.6170819288431038,1.284908387349918,1.9797539627082188,5.305619624673456,8.440593121908321,22.07939983136984
P4_Decoupling_Stress,1,1751,1751,0,0,25.840847487051988,34.980668225207026,1.4414676197861993,1.8902784961045835,5.654610297164045,10.395789961387106,15.193389492959827,24.127070963559298,96.65319901984842,150.7874490189127,470.6383247995848
P4_Thermal_Efficiency,1,1751,1751,0,0,0.001536241243176161,0.0009986247871494717,8.672946880363949e-05,0.0002486067230175,0.0004283205297323,0.0007780876785389501,0.0013630969987062,0.0020352207343098004,0.0034782353986625002,0.004909149563566,0.007159972398901
P4_Hydrothermal_Balance,1,1751,1751,0,0,1.9466242395319935,2.001979154635207,0.0037920384425921,0.015518652877095949,0.045097050143537404,0.30699346478378353,1.4211814806143517,3.138335611017072,5.583248827445722,8.215104925944324,15.318290457450496
P1_Drought_Vulnerability,1,1751,1751,0,0,0.049949476788069595,0.017954177423954873,0.010928503971812,0.02125766497904755,0.026102701628682,0.0371868006635764,0.0477790902089457,0.058710339628317454,0.08395904580451904,0.1062484330390054,0.1206801788424624
P1_Fertility_Vigor,1,1751,1751,0,0,5.172872178754589,3.3144944757072037,0.6343727818417262,1.171782907961127,1.4321222046555628,2.5070096659004117,4.834241891526801,6.872805154505102,10.791118525163142,14.395343137910913,44.67210032458752
P2_Drought_Vulnerability,1,1751,1751,0,0,0.01228290752311895,0.004195150383918379,0.0031380703502447,0.0058824007704260505,0.00714121697844865,0.0092563043163362,0.0113890662099648,0.01473841960553615,0.02034027285862635,0.02527694325839515,0.0328713103405367
P2_Fertility_Vigor,1,1751,1751,0,0,2.932258555680752,1.371348832565533,-3.0043856624476435,-0.2716850379742093,1.1331033728447997,2.1362109976166788,2.813710147797692,3.5354631031047883,5.100703998512614,7.2870722915249075,15.687354699862
P3_Drought_Vulnerability,1,1751,1751,0,0,0.042119111262955214,0.016102842915966066,0.0112211946554907,0.014367480836929649,0.019914057672047403,0.030159213947347052,0.0399236145375629,0.0521330267664037,0.07215815154601166,0.08888682934231185,0.1098858361262191
P3_Fertility_Vigor,1,1751,1751,0,0,4.377802109194482,2.640097016184711,0.6129905644640697,0.8435608860354471,1.154443488562428,2.524784021271664,4.0077564065177285,5.725056298299691,8.665263416316833,12.749013281367866,27.50812548895192
P4_Drought_Vulnerability,1,1751,1751,0,0,0.0662194749545723,0.02877732293931989,0.0160763731649351,0.022317224175755553,0.0294766725520431,0.0461926509302585,0.0592631952600959,0.08305979317825865,0.1211415532351949,0.1567324163518351,0.1783931044616383
P4_Fertility_Vigor,1,1751,1751,0,0,6.68180988932622,4.365631263445085,0.5785085090362463,1.2885256550839372,1.6857871794531856,3.590737010140913,6.327896124329868,8.86757620080897,13.073450969627288,22.263540734279278,41.68569751932272
Cum_PPT_P1,1,1751,1751,0,0,10.735363457915716,8.962389136472062,0.1936293542385101,0.41206373274326324,1.0914872884750366,4.0282981395721436,9.496633529663086,14.978876113891602,23.845595359802246,48.79799270629883,76.11442565917969
Cum_PPT_P2,1,1751,1751,0,0,47.02866005375002,29.997569074854724,4.176278382539749,7.117731213569641,10.566357016563416,23.02529716491699,44.6717472076416,59.86274528503418,101.96617889404297,144.80796241760254,242.2349548339844
Cum_PPT_P3,1,1751,1751,0,0,74.477979624445,47.52178188098109,6.457674324512482,11.800736755132675,16.038394391536713,38.899008989334106,69.77234840393066,93.79623746871948,153.15350818634033,263.8555736541748,304.6532783508301
Cum_PPT_P4,1,1751,1751,0,0,100.36805813836156,52.327771944269514,15.603149592876434,23.29305762052536,36.13232859969139,64.4298152923584,93.98031425476074,129.76475620269775,165.21262216567993,328.1653881072998,369.1956329345703
Cum_FDD_P1,1,1751,1751,0,888,1.2139861529770979,2.6197985167584688,0.0,0.0,0.0,0.0,0.0,0.9985806941986084,6.544837236404419,11.386711597442627,34.75273132324219
Cum_FDD_P2,1,1751,1751,0,0,608.6627949809683,288.89068283239624,221.3902587890625,247.67158508300778,275.3597717285156,364.91260740254074,517.4777221679688,831.0569054633379,1145.8759393692017,1350.911314189434,1643.6476774215698
Cum_FDD_P3,1,1751,1751,0,0,623.6080407117563,301.7691165744819,221.3902587890625,247.67158508300778,275.3597717285156,366.0935832262039,529.755615234375,863.6181829869747,1171.4512560367584,1394.253160044551,1804.50113105774
Cum_FDD_P4,1,1751,1751,0,0,624.7977996927845,303.0352695054761,221.3902587890625,247.67158508300778,275.3597717285156,366.0935832262039,529.755615234375,866.4080139324069,1174.107267856598,1400.5911323428154,1810.6510372161863
Cum_VPD_P1,1,1751,1751,0,0,1.1373475305799892,0.33894734824299694,0.2692679464817047,0.43111681938171387,0.5848334729671478,0.8823544383049011,1.1574686765670776,1.3883957266807556,1.6698215007781982,1.7827956080436707,1.913207650184632
Cum_VPD_P2,1,1751,1751,0,0,1.4168498037603159,0.4051986693086904,0.3486462831497192,0.5611233599483966,0.7458810657262802,1.1258270293474197,1.4436171352863312,1.7187636941671371,2.0595279186964035,2.2015658169984818,2.38449999690056
Cum_VPD_P3,1,1751,1751,0,0,2.3774543235015693,0.706504459309597,0.6667828485369681,0.8402956575155256,1.2410850822925568,1.8618866056203844,2.41116714477539,2.901418909430504,3.533828049898147,3.7875965386629105,4.1060790717601785
Cum_VPD_P4,1,1751,1751,0,0,3.882665832231788,1.1756159160533288,0.988440655171871,1.2646063826978207,1.9210783392190935,3.0262002050876617,3.9736171066761017,4.731708109378815,5.672299548983574,6.116872951388359,6.6891398429870605
Delta_NDVI_P2,1,1751,1751,0,0,-0.14952303152406393,0.19404603164511036,-0.7315395101904869,-0.5557267852127552,-0.4458342716097832,-0.2928948476910591,-0.1698793172836304,0.0231780968606472,0.15718192607164383,0.2313119694590569,0.4418449625372886
Delta_NDWI_P2,1,1751,1751,0,0,-0.07655189641114993,0.17846022774035633,-0.5063953325152397,-0.37528869882225985,-0.2995825039688498,-0.18373727984726423,-0.0938956886529923,0.0007847771048545499,0.15051088854670525,0.7485765554010868,0.97496198117733
Delta_SM_P2,1,1751,1751,0,0,0.018336469501678172,0.02985383549099279,-0.0781225264072418,-0.0369115918874741,-0.025895491242408752,-0.0007109493017196,0.0131837539374828,0.034067906439304296,0.0755221024155617,0.09340015798807144,0.1601998507976532
Delta_NDVI_P3,1,1751,1751,0,0,0.1014088585523081,0.1732006400170453,-0.3601111620664596,-0.24792309850454325,-0.1588390879333019,-0.0190199688076973,0.0875539779663086,0.21069724112749094,0.40601404570043087,0.5635180324316025,0.6771904770284892
Delta_NDWI_P3,1,1751,1751,0,0,0.06546723593845843,0.16235645649956185,-1.0322476625442505,-0.6646828576922417,-0.1219210997223853,-0.0030185729265212,0.0681104063987732,0.15469899028539655,0.2858729315921664,0.39070825633825734,0.4821524843573568
Delta_SM_P3,1,1751,1751,0,0,-0.020893489666440536,0.02386474593790745,-0.1664787828922271,-0.0970121324062346,-0.06610710546374315,-0.032001323997974354,-0.0163686424493788,-0.00704124569892885,0.00482145696878425,0.037900224328041,0.0583480298519135
Delta_NDVI_P4,1,1751,1751,0,0,0.15150709525133663,0.23033838137929993,-0.5340843200683594,-0.45819866657257086,-0.25295682251453394,0.00502317398786535,0.1630481928586959,0.3104367330670357,0.5202005431056023,0.5977869182825089,0.692720852792263
Delta_NDWI_P4,1,1751,1751,0,0,0.1214311956367947,0.1578571617823236,-0.4735912010073662,-0.32778094150125975,-0.148881684988737,0.0257149487733841,0.1203314438462258,0.23233665525913239,0.3733537141233684,0.4531760942190886,0.5783628299832343
Delta_SM_P4,1,1751,1751,0,0,-0.0020433970099939516,0.05319036472103266,-0.1446327567100525,-0.1171102523803711,-0.09695565700531006,-0.03112648613750935,0.0018279403448104,0.0353076318278909,0.08313438296318044,0.0901274792850017,0.0984363108873367
P1_WUE,2,2119,2119,0,0,0.2853552700400128,0.05564303133467569,-0.013446987307131,0.12600619455849438,0.20730280019678185,0.26846156760560586,0.2841226856051853,0.2998276201853451,0.3487166043322643,0.46486145998879036,0.9112915397911118
P1_Decoupling_Stress,2,2119,2119,0,0,1.7523528766365006,0.43984588917904777,0.4323826116359435,0.9531200716510396,1.1005856658248576,1.405502038602282,1.7207377021429957,2.0900390675797755,2.503392920913156,2.7254286312078078,2.875695504789132
P1_Thermal_Efficiency,2,2119,2119,0,0,0.0016011064531357715,0.005857130308980798,-1.344676282217391e-05,0.000556588100202388,0.0009238616780391,0.0012430163860062,0.0013687975033603,0.0015145110698287002,0.0018820568339374597,0.0031059050243086262,0.253484308719635
P1_Hydrothermal_Balance,2,2119,2119,0,0,5.547462992237864,19.756259246144623,1.3695236484370104,1.4634465131432988,2.076026122150716,2.9634432452057697,4.160303651023971,5.875760697372055,8.495650688742009,13.316200383626937,562.1516418457031
P2_WUE,2,2119,2119,0,0,0.3144779364353666,0.13925504364964833,-0.002745301731476,0.07035746168306627,0.1331718783902609,0.22239501775018275,0.2845472308657472,0.38922538887124364,0.5844025907258218,0.7242573513788713,1.2685556605576838
P2_Decoupling_Stress,2,2119,2119,0,0,1.386367650775098,0.32874489609111235,0.3516968003617918,0.8814993220194554,0.9661952228908948,1.1525791464097948,1.3324336601096072,1.5667525451190367,2.025568682009048,2.4402437591396424,3.0679456875316213
P2_Thermal_Efficiency,2,2119,2119,0,0,0.001990342302618536,0.013760601260924434,-1.5778572980440792e-06,0.00034068302681109804,0.00056141793637483,0.00088801499656915,0.0011915123852523,0.0015181596523981,0.002133993959822389,0.004278413011530776,0.3785314261913299
P2_Hydrothermal_Balance,2,2119,2119,0,0,21.968768272001373,74.81699721795815,4.058440490934573,4.13684719017988,4.633958771641726,8.459706401900185,12.04300997363584,18.116554828399188,35.830281631990474,251.01785263831982,1339.871826171875
P3_WUE,2,2119,2119,0,0,0.33532656830417906,0.1747273994249866,0.0030071958850665,0.058186059181153535,0.11579448274955025,0.21502731205450532,0.2861466094426085,0.43090042486456304,0.6902433339793002,0.8169341319536306,1.4718568142384088
P3_Decoupling_Stress,2,2119,2119,0,0,2.2609674298467257,0.6438906864854799,0.3375199582418888,1.1904445830810422,1.3627640467551214,1.7665549107139842,2.186980854352519,2.6687367852039676,3.4442601462081415,3.8003224154411632,5.812924294729097
P3_Thermal_Efficiency,2,2119,2119,0,0,0.0019579229436544436,0.010821880251917234,8.124809930146491e-05,0.000322728423447616,0.0006674013193301101,0.0010727474858490001,0.0013258516458985,0.0016714900264971,0.0023858726728401597,0.004001535451323469,0.3176774026530889
P3_Hydrothermal_Balance,2,2119,2119,0,0,8.343833909763028,37.384892419813724,1.4625987834038274,1.6776325621917616,1.8392141380749496,3.288208689325711,4.951805481441874,6.866151154719292,11.152618774093819,34.57143440593956,809.3228912353516
P4_WUE,2,2119,2119,0,0,0.3998063316920897,0.18688521644299935,0.0073889429480166,0.08023394113475231,0.16370807403518645,0.27790434020985066,0.3508865137087288,0.49036895605227104,0.7799078721167748,0.9715827823962713,1.3342144233857884
P4_Decoupling_Stress,2,2119,2119,0,0,2.5320916957986244,0.637379879459931,0.541581226807896,1.2388016102398423,1.6896148820951151,2.0987816675675575,2.4684585229143536,2.841042927849638,3.6884864298909528,4.43363639004444,6.178723318041348
P4_Thermal_Efficiency,2,2119,2119,0,0,0.002456080677199113,0.007250605779829158,0.0002706754401815,0.000727734508024528,0.0011914767165261302,0.0018461672887292,0.0020643101466876,0.00246345156270455,0.003351994788648418,0.004429742758725984,0.2624698877334595
P4_Hydrothermal_Balance,2,2119,2119,0,0,3.7993802294071277,14.5413999413706,0.6260274136946969,0.895541458869143,1.4213618168182738,2.0806126110894096,2.6087646439377745,3.8384216107847307,5.321295876115839,10.152270680940576,348.5751342773437
