,P1_WUE,P1_Decoupling_Stress,P1_Thermal_Efficiency,P1_Hydrothermal_Balance,P2_WUE,P2_Decoupling_Stress,P2_Thermal_Efficiency,P2_Hydrothermal_Balance,P3_WUE,P3_Decoupling_Stress,P3_Thermal_Efficiency,P3_Hydrothermal_Balance,P4_WUE,P4_Decoupling_Stress,P4_Thermal_Efficiency,P4_Hydrothermal_Balance,P1_Drought_Vulnerability,P1_Fertility_Vigor,P2_Drought_Vulnerability,P2_Fertility_Vigor,P3_Drought_Vulnerability,P3_Fertility_Vigor,P4_Drought_Vulnerability,P4_Fertility_Vigor,Cum_PPT_P1,Cum_PPT_P2,Cum_PPT_P3,Cum_PPT_P4,Cum_FDD_P1,Cum_FDD_P2,Cum_FDD_P3,Cum_FDD_P4,Cum_VPD_P1,Cum_VPD_P2,Cum_VPD_P3,Cum_VPD_P4,Delta_NDVI_P2,Delta_NDWI_P2,Delta_SM_P2,Delta_NDVI_P3,Delta_NDWI_P3,Delta_SM_P3,Delta_NDVI_P4,Delta_NDWI_P4,Delta_SM_P4,Sand,Clay,SOC,P1_Tmean,P1_PPT,P1_SM,P1_GDD,P1_FDD,P1_VPD,P1_VPD_max,P1_NDVI,P1_NDVI_max,P1_NDWI,P1_NIRv,P1_EVI,P1_EVI_max,P2_Tmean,P2_PPT,P2_SM,P2_GDD,P2_FDD,P2_VPD,P2_VPD_max,P2_NDVI,P2_NDVI_max,P2_NDWI,P2_NIRv,P2_EVI,P2_EVI_max,P3_Tmean,P3_PPT,P3_SM,P3_GDD,P3_FDD,P3_VPD,P3_VPD_max,P3_NDVI,P3_NDVI_max,P3_NDWI,P3_NIRv,P3_EVI,P3_EVI_max,P4_Tmean,P4_PPT,P4_SM,P4_GDD,P4_FDD,P4_VPD,P4_VPD_max,P4_NDVI,P4_NDVI_max,P4_NDWI,P4_NIRv,P4_EVI,P4_EVI_max
Delta_SM_P2,0.1952,0.5068,-0.06,-0.4615,0.1027,-0.2855,-0.1228,-0.1571,0.1421,-0.1106,0.2125,-0.1542,0.1917,0.0037,0.175,-0.1501,0.3044,-0.1754,-0.2682,0.0117,-0.0949,-0.0225,-0.1108,-0.0876,-0.4176,-0.0381,-0.1333,-0.1802,-0.0537,-0.2562,-0.2576,-0.2576,0.5558,0.4124,0.214,0.0819,0.2128,0.2096,1.0,0.0429,0.0928,-0.1814,-0.0842,-0.0952,-0.1796,-0.1935,0.1547,-0.1429,0.4236,-0.4176,-0.5672,0.2678,-0.0537,0.5558,0.329,-0.1439,0.0169,-0.2285,-0.0681,-0.152,-0.1886,0.303,0.2915,0.1637,0.2765,-0.2561,-0.3266,-0.3122,0.1608,0.1898,0.0898,0.178,0.3089,0.3472,0.0358,-0.1431,0.0627,0.0492,-0.0477,-0.0335,-0.1461,0.1649,0.2477,0.1373,0.1893,0.2725,0.2991,-0.1995,-0.2,-0.0643,-0.0312,-0.0061,-0.0795,-0.042,0.1383,0.2003,0.0793,0.2143,0.1704,0.17
Delta_NDVI_P3,-0.2477,0.051,-0.2144,-0.2163,-0.1073,0.096,-0.1961,-0.0826,0.4833,-0.0064,0.3911,0.1226,0.2827,0.0316,0.2414,-0.0478,0.0481,-0.2102,0.004,-0.1409,-0.048,0.3335,-0.0112,0.1399,-0.1876,-0.0986,0.0039,0.0059,-0.0637,0.0456,0.0433,0.0433,0.1568,0.1708,0.0879,0.061,0.0591,0.1628,0.0429,1.0,0.7099,0.1921,-0.3571,-0.2071,-0.2107,-0.1168,0.1076,-0.0149,0.2007,-0.1876,-0.0392,0.1131,-0.0637,0.1568,0.0584,-0.3348,-0.1968,-0.2645,-0.3153,-0.1104,-0.1043,0.0507,0.0034,-0.0234,0.1269,0.0457,0.1502,0.1548,-0.172,-0.0798,-0.0136,-0.1198,-0.0156,0.0557,0.2147,0.192,0.0867,0.1816,-0.1227,-0.0104,0.0653,0.5575,0.5172,0.4719,0.5368,0.2295,0.2243,0.0972,-0.032,-0.021,0.0638,-0.0498,0.0373,0.0419,0.3029,0.304,0.3321,0.341,0.2333,0.225
Delta_NDWI_P3,-0.1775,0.1454,-0.1935,-0.2073,0.1742,0.1735,-0.0377,-0.2564,0.5926,0.0333,0.4405,0.0434,0.3386,0.0646,0.3377,-0.0568,0.127,-0.2373,0.0976,0.0548,0.0161,0.3003,0.0243,0.0792,-0.1804,-0.1824,-0.101,-0.0879,-0.076,-0.0239,-0.0261,-0.0261,0.2274,0.2663,0.1727,0.1224,0.295,0.1297,0.0928,0.7099,1.0,0.1689,-0.3959,-0.369,-0.1556,-0.0823,0.0567,-0.0927,0.2229,-0.1804,-0.1141,0.1786,-0.076,0.2274,0.1546,-0.3001,-0.1329,-0.2655,-0.2616,-0.0524,-0.0417,0.115,-0.1222,-0.0762,0.1783,-0.0239,0.2572,0.2406,0.1435,0.1819,-0.0689,0.1649,0.1541,0.1912,0.2248,0.1142,0.0387,0.209,-0.1105,0.0451,0.09,0.6202,0.6232,0.632,0.634,0.2899,0.2802,0.0752,-0.0438,-0.0449,-0.0547,-0.0736,0.0592,0.0813,0.3412,0.3567,0.3828,0.3964,0.2606,0.2483
Delta_SM_P3,0.0427,-0.1585,0.1587,-0.4373,0.0244,0.2153,-0.0475,-0.1602,-0.0733,-0.2666,0.2158,0.5736,-0.2049,-0.3612,0.0615,0.4575,-0.0505,0.0748,0.1617,0.0132,-0.2485,0.1356,-0.2722,0.1033,-0.4766,-0.4838,-0.1394,0.0089,0.0168,0.2335,0.2336,0.2336,-0.0259,0.0706,-0.1349,-0.2851,-0.0889,-0.0675,-0.1814,0.1921,0.1689,1.0,-0.0944,-0.0614,0.0075,-0.0087,0.0365,0.1329,-0.1777,-0.4766,-0.0255,-0.2216,0.0168,-0.0259,-0.3239,-0.0185,0.0837,-0.0197,-0.0009,-0.0021,-0.0209,-0.0474,-0.3309,-0.1851,0.0069,0.2335,0.3733,0.1827,-0.1131,-0.0485,-0.1146,-0.0642,-0.1939,-0.1249,-0.2133,0.5662,0.372,-0.265,0.1648,-0.3424,-0.1769,0.0572,0.0781,0.0271,0.0608,-0.1113,-0.1692,-0.3982,0.4352,0.3988,-0.1221,-0.0118,-0.3569,-0.3022,-0.0434,-0.0138,-0.0311,0.0046,-0.0074,0.0111
Delta_NDVI_P4,0.1538,-0.0275,0.1108,0.137,-0.3444,-0.0031,0.0688,0.2849,-0.514,0.1135,-0.3763,-0.1259,0.1507,0.0572,0.1522,-0.0114,0.0054,0.0256,0.0574,-0.324,0.1323,-0.4395,0.098,0.0178,0.1055,-0.0167,-0.1014,-0.1046,0.0308,0.221,0.2208,0.2208,-0.117,-0.1321,-0.007,0.0228,-0.3903,-0.3624,-0.0842,-0.3571,-0.3959,-0.0944,1.0,0.7645,0.1206,0.0872,-0.1557,-0.0972,-0.2644,0.1055,-0.0237,-0.1592,0.0308,-0.117,-0.0855,0.1661,0.0668,0.1616,0.1519,-0.077,-0.0905,-0.3105,-0.1169,-0.1029,-0.3576,0.221,-0.0902,-0.1232,-0.3875,-0.3937,-0.3627,-0.3997,-0.272,-0.2988,-0.1957,-0.184,-0.1542,-0.1472,0.1382,0.1053,0.0764,-0.6249,-0.5065,-0.5797,-0.6049,-0.2699,-0.2294,-0.0125,-0.0159,-0.0763,0.0144,0.0348,0.051,0.0373,0.2038,0.1552,-0.0189,0.1297,-0.188,-0.1837
Delta_NDWI_P4,0.1143,-0.041,0.0678,0.1198,-0.3686,-0.0274,0.0761,0.3018,-0.4608,0.0802,-0.3019,-0.0935,0.0393,-0.027,0.0538,0.0462,-0.034,0.0191,0.0313,-0.3081,0.086,-0.3485,0.0123,0.0066,0.093,-0.0427,-0.1072,-0.0915,-0.0076,0.2682,0.2678,0.2678,-0.1346,-0.1443,-0.0319,-0.0436,-0.381,-0.3716,-0.0952,-0.2071,-0.369,-0.0614,0.7645,1.0,0.174,0.0427,-0.1069,-0.0712,-0.2573,0.093,-0.0101,-0.1842,-0.0076,-0.1346,-0.0985,0.1258,0.0033,0.1309,0.1065,-0.0999,-0.1157,-0.3329,-0.1367,-0.0888,-0.383,0.2683,-0.0745,-0.1587,-0.3984,-0.4093,-0.3947,-0.416,-0.32,-0.3316,-0.1951,-0.1608,-0.1254,-0.1583,0.1147,0.0723,0.0416,-0.5237,-0.4485,-0.5953,-0.5345,-0.2588,-0.2097,-0.0407,0.0433,-0.0115,0.0132,0.0061,-0.0389,-0.056,0.0862,0.0385,0.1701,0.0288,-0.163,-0.1553
Delta_SM_P4,0.087,0.0667,0.0186,0.076,0.0386,0.1761,0.1742,-0.0148,-0.0885,0.1841,-0.1804,-0.1848,-0.3648,-0.3473,-0.1184,0.4478,0.064,0.0481,0.2132,-0.0294,0.1523,-0.1238,-0.22,-0.0777,0.0626,-0.2415,-0.265,-0.1193,0.0543,0.2502,0.2513,0.2513,0.0027,0.0891,0.1423,-0.1201,-0.0945,-0.1412,-0.1796,-0.2107,-0.1556,0.0075,0.1206,0.174,1.0,0.1232,-0.0972,-0.0041,-0.1093,0.0626,-0.0757,-0.1403,0.0543,0.0027,0.034,0.087,-0.0358,0.0664,0.0696,0.0327,-0.0192,-0.2237,-0.3752,-0.2213,-0.217,0.2502,0.2929,0.0369,-0.05,-0.0749,-0.1114,-0.0513,-0.1154,-0.1689,0.0934,-0.1901,-0.2435,0.042,-0.0488,0.1691,0.1128,-0.2227,-0.1932,-0.2216,-0.2185,-0.2237,-0.227,-0.1404,0.4565,0.37,-0.1256,0.0429,-0.3599,-0.3164,-0.1806,-0.2174,-0.123,-0.2343,-0.2914,-0.2824
Sand,0.1691,0.2127,0.0585,-0.0608,0.0228,0.3893,0.2438,0.2682,-0.0112,0.4162,-0.2469,-0.2421,0.0155,0.3202,0.0113,-0.2129,0.4351,-0.0925,0.5615,-0.2379,0.5525,-0.2964,0.4997,-0.2779,-0.0833,-0.257,-0.3311,-0.3595,0.0564,0.3522,0.3528,0.3528,0.1135,0.1523,0.2933,0.3351,-0.1492,-0.1808,-0.1935,-0.1168,-0.0823,-0.0087,0.0872,0.0427,0.1232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clay,-0.208,-0.3181,0.0058,0.0951,-0.0977,-0.4964,-0.3744,-0.2992,-0.0658,-0.5521,0.26,0.3448,-0.1702,-0.4547,-0.0926,0.2979,-0.6863,0.3024,-0.8452,0.4058,-0.7991,0.4784,-0.7402,0.4597,0.1257,0.3389,0.4337,0.4809,-0.0167,-0.4195,-0.4191,-0.4191,-0.1996,-0.2502,-0.43,-0.4858,0.0939,0.158,0.1547,0.1076,0.0567,0.0365,-0.1557,-0.1069,-0.0972,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOC,-0.184,-0.5506,0.2387,0.3028,-0.2787,-0.483,-0.3494,-0.1297,-0.3075,-0.6061,0.1752,0.5713,-0.4261,-0.5631,-0.1185,0.3969,-0.6231,0.7735,-0.4615,0.7039,-0.6159,0.7656,-0.5929,0.8646,0.2784,0.4446,0.5672,0.6075,0.0851,-0.2995,-0.2959,-0.2959,-0.4996,-0.5053,-0.6226,-0.6455,-0.1493,-0.0929,-0.1429,-0.0149,-0.0927,0.1329,-0.0972,-0.0712,-0.0041,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_Tmean,0.0506,0.3321,-0.1663,-0.3012,0.1978,0.0104,-0.3935,-0.2954,0.3434,0.0974,-0.0045,-0.1461,0.2035,0.1481,0.0896,-0.2367,0.2785,-0.1547,-0.0884,0.0273,0.008,0.0679,0.0356,-0.083,-0.1841,0.0683,0.0642,0.0047,-0.1238,-0.2639,-0.2672,-0.2672,0.5221,0.4802,0.3203,0.2532,0.2278,0.2427,0.4236,0.2007,0.2229,-0.1777,-0.2644,-0.2573,-0.1093,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_PPT,-0.3334,-0.4916,-0.0924,0.989,-0.1915,-0.364,-0.0389,-0.0501,-0.2046,-0.2037,-0.1544,0.1062,-0.1827,-0.1523,-0.2379,0.0712,-0.5328,0.254,-0.2276,0.2514,-0.186,0.1805,-0.1316,0.2665,1.0,0.7372,0.6278,0.5814,-0.0485,-0.2789,-0.2776,-0.2776,-0.6487,-0.6302,-0.4543,-0.2936,-0.0226,-0.0414,-0.4176,-0.1876,-0.1804,-0.4766,0.1055,0.093,0.0626,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_SM,-0.4224,-0.9112,0.1269,0.6989,-0.308,-0.4931,-0.2663,-0.1253,-0.3265,-0.5942,0.0813,0.5312,-0.3789,-0.4924,-0.2263,0.3939,-0.8066,0.4566,-0.3913,0.3899,-0.5584,0.4323,-0.4316,0.4908,0.681,0.6322,0.7505,0.7906,-0.0021,-0.3091,-0.3067,-0.3067,-0.8571,-0.8186,-0.7871,-0.638,-0.1077,-0.0603,-0.5672,-0.0392,-0.1141,-0.0255,-0.0237,-0.0101,-0.0757,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_GDD,-0.0441,0.298,-0.4714,-0.0564,0.3386,0.0676,-0.0032,-0.2689,0.4073,0.1931,-0.1506,-0.163,0.3474,0.3082,0.1734,-0.3072,0.2227,-0.311,0.0209,0.0086,0.1062,-0.009,0.1681,-0.1243,0.013,0.0261,0.0353,-0.0409,-0.1731,-0.2458,-0.2489,-0.2489,0.3496,0.3369,0.2935,0.2862,0.3682,0.372,0.2678,0.1131,0.1786,-0.2216,-0.1592,-0.1842,-0.1403,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_FDD,0.0619,-0.0146,0.1244,-0.0051,-0.0633,0.0161,0.006,0.1244,-0.0841,0.0051,0.0253,0.0265,-0.0664,-0.0082,-0.0205,0.0645,0.0047,0.0935,-0.0311,0.0037,0.0079,-0.004,-0.0123,0.0313,-0.0485,-0.0231,-0.0413,-0.0234,1.0,0.1315,0.1378,0.1379,-0.0145,-0.0202,-0.0102,-0.0146,-0.11,-0.11,-0.0537,-0.0637,-0.076,0.0168,0.0308,-0.0076,0.0543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_VPD,0.2858,0.8953,-0.2063,-0.7023,0.3246,0.4807,0.1136,0.0159,0.4367,0.5701,-0.0681,-0.5264,0.3991,0.4903,0.2291,-0.4784,0.8185,-0.4821,0.3254,-0.3262,0.511,-0.3124,0.3955,-0.435,-0.6487,-0.5376,-0.6378,-0.6965,-0.0145,0.2135,0.2102,0.2102,1.0,0.9666,0.8713,0.7002,0.2031,0.1967,0.5558,0.1568,0.2274,-0.0259,-0.117,-0.1346,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_VPD_max,0.138,0.8747,-0.3339,-0.2414,0.2711,0.4884,0.1853,-0.0003,0.4028,0.6337,-0.1973,-0.6377,0.3852,0.5676,0.053,-0.5561,0.6758,-0.4538,0.3326,-0.2877,0.5746,-0.3122,0.4966,-0.4203,-0.1879,-0.3022,-0.4964,-0.5862,-0.0325,0.158,0.1546,0.1546,0.7468,0.7326,0.7782,0.7277,0.2123,0.1908,0.329,0.0584,0.1546,-0.3239,-0.0855,-0.0985,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_NDVI,0.7379,-0.2407,0.7813,0.1356,-0.1321,-0.1142,-0.0668,0.0719,-0.3427,-0.1288,-0.1274,0.0861,-0.2589,-0.1451,-0.0968,0.1813,-0.1933,0.7307,-0.0752,0.1091,-0.0997,-0.029,-0.089,0.0715,0.1141,0.142,0.1311,0.1556,0.0741,-0.0306,-0.0279,-0.0279,-0.2637,-0.265,-0.2304,-0.1781,-0.611,-0.5807,-0.1439,-0.3348,-0.3001,-0.0185,0.1661,0.1258,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_NDVI_max,0.6987,-0.0806,0.8714,-0.1036,0.0752,-0.0471,-0.0079,0.0157,-0.0939,-0.0531,0.0466,0.0643,-0.0371,-0.0014,0.1262,0.0775,-0.0206,0.5313,-0.0207,0.1297,-0.0324,0.0158,0.0229,0.056,-0.1147,0.0024,0.0155,0.0268,0.041,-0.0654,-0.0632,-0.0632,-0.0462,-0.0586,-0.0722,-0.0175,-0.3866,-0.4038,0.0169,-0.1968,-0.1329,0.0837,0.0668,0.0033,-0.0358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_NDWI,0.5554,-0.2908,0.657,0.1894,-0.1461,-0.0868,-0.1049,0.0672,-0.3191,-0.1294,-0.11,0.0959,-0.223,-0.1096,-0.1372,0.2066,-0.2207,0.5844,-0.0455,0.0615,-0.0884,-0.0388,-0.0426,0.0574,0.1666,0.1785,0.1674,0.1909,0.1065,-0.0474,-0.0446,-0.0446,-0.339,-0.3313,-0.2703,-0.173,-0.5278,-0.6511,-0.2285,-0.2645,-0.2655,-0.0197,0.1616,0.1309,0.0664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_NIRv,0.8581,-0.1234,0.7436,0.0255,-0.047,-0.0423,-0.0246,0.0802,-0.2591,-0.0517,-0.122,0.0296,-0.1715,-0.0707,-0.0403,0.1222,-0.0752,0.6331,-0.0156,0.0553,-0.0238,-0.0853,-0.0228,-0.0046,0.0081,0.0461,0.033,0.0518,0.0766,0.0152,0.0173,0.0173,-0.1352,-0.141,-0.1183,-0.0841,-0.559,-0.5425,-0.0681,-0.3153,-0.2616,-0.0009,0.1519,0.1065,0.0696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_EVI,0.1244,-0.2923,0.3482,0.107,-0.0159,-0.127,-0.1195,-0.0677,-0.1067,-0.1652,0.0558,0.1976,-0.2124,-0.1412,0.1073,0.0819,-0.1967,0.4258,-0.04,0.3166,-0.1039,0.2541,-0.0766,0.2617,0.0984,0.1848,0.2134,0.2077,-0.0334,-0.1475,-0.1445,-0.1445,-0.2376,-0.2352,-0.2384,-0.1594,-0.1289,-0.1668,-0.152,-0.1104,-0.0524,-0.0021,-0.077,-0.0999,0.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_EVI_max,0.0846,-0.3898,0.3674,0.1585,-0.0199,-0.1913,-0.1769,-0.1107,-0.1078,-0.2429,0.0944,0.2398,-0.2039,-0.1589,0.1016,0.133,-0.2936,0.4532,-0.1101,0.3535,-0.1905,0.2886,-0.1152,0.2942,0.1501,0.2593,0.3036,0.3064,-0.0397,-0.2348,-0.232,-0.232,-0.3212,-0.3155,-0.3305,-0.2169,-0.1136,-0.1588,-0.1886,-0.1043,-0.0417,-0.0209,-0.0905,-0.1157,-0.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_Tmean,-0.1912,-0.2851,0.0392,0.0803,0.1074,-0.5425,-0.6002,-0.7184,0.0567,-0.6221,0.3322,0.3166,-0.0939,-0.3767,-0.0651,0.2387,-0.3857,0.2515,-0.5106,0.5338,-0.6176,0.4996,-0.4603,0.3931,0.1374,0.5113,0.5804,0.5844,-0.1153,-0.9138,-0.9121,-0.9121,-0.1501,-0.2004,-0.4382,-0.4129,0.292,0.2501,0.303,0.0507,0.115,-0.0474,-0.3105,-0.3329,-0.2237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_PPT,-0.1518,-0.3763,0.161,0.2038,-0.1856,-0.7442,-0.5,-0.0547,-0.1373,-0.543,0.2093,0.2681,-0.1052,-0.2647,-0.0689,0.0689,-0.4332,0.3436,-0.6806,0.3915,-0.5311,0.4081,-0.3403,0.4079,0.2413,0.7969,0.7452,0.6621,0.0242,-0.6386,-0.6363,-0.6363,-0.2631,-0.4115,-0.5141,-0.3837,0.0289,0.1046,0.2915,0.0034,-0.1222,-0.3309,-0.1169,-0.1367,-0.3752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_SM,-0.2992,-0.6494,0.1448,0.4216,-0.2812,-0.8754,-0.4568,-0.2602,-0.282,-0.8424,0.3056,0.5043,-0.3106,-0.6193,-0.109,0.3833,-0.7258,0.4484,-0.7427,0.5134,-0.7825,0.5315,-0.6497,0.5503,0.4361,0.7598,0.8116,0.8238,-0.0318,-0.6232,-0.6206,-0.6205,-0.546,-0.6379,-0.7895,-0.7281,0.0294,0.0789,0.1637,-0.0234,-0.0762,-0.1851,-0.1029,-0.0888,-0.2213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
