,P1_WUE,P1_Decoupling_Stress,P1_Thermal_Efficiency,P1_Hydrothermal_Balance,P2_WUE,P2_Decoupling_Stress,P2_Thermal_Efficiency,P2_Hydrothermal_Balance,P3_WUE,P3_Decoupling_Stress,P3_Thermal_Efficiency,P3_Hydrothermal_Balance,P4_WUE,P4_Decoupling_Stress,P4_Thermal_Efficiency,P4_Hydrothermal_Balance,P1_Drought_Vulnerability,P1_Fertility_Vigor,P2_Drought_Vulnerability,P2_Fertility_Vigor,P3_Drought_Vulnerability,P3_Fertility_Vigor,P4_Drought_Vulnerability,P4_Fertility_Vigor,Cum_PPT_P1,Cum_PPT_P2,Cum_PPT_P3,Cum_PPT_P4,Cum_FDD_P1,Cum_FDD_P2,Cum_FDD_P3,Cum_FDD_P4,Cum_VPD_P1,Cum_VPD_P2,Cum_VPD_P3,Cum_VPD_P4,Delta_NDVI_P2,Delta_NDWI_P2,Delta_SM_P2,Delta_NDVI_P3,Delta_NDWI_P3,Delta_SM_P3,Delta_NDVI_P4,Delta_NDWI_P4,Delta_SM_P4,Sand,Clay,SOC,P1_Tmean,P1_PPT,P1_SM,P1_GDD,P1_FDD,P1_VPD,P1_VPD_max,P1_NDVI,P1_NDVI_max,P1_NDWI,P1_NIRv,P1_EVI,P1_EVI_max,P2_Tmean,P2_PPT,P2_SM,P2_GDD,P2_FDD,P2_VPD,P2_VPD_max,P2_NDVI,P2_NDVI_max,P2_NDWI,P2_NIRv,P2_EVI,P2_EVI_max,P3_Tmean,P3_PPT,P3_SM,P3_GDD,P3_FDD,P3_VPD,P3_VPD_max,P3_NDVI,P3_NDVI_max,P3_NDWI,P3_NIRv,P3_EVI,P3_EVI_max,P4_Tmean,P4_PPT,P4_SM,P4_GDD,P4_FDD,P4_VPD,P4_VPD_max,P4_NDVI,P4_NDVI_max,P4_NDWI,P4_NIRv,P4_EVI,P4_EVI_max
Cum_FDD_P1,0.0619,-0.0146,0.1244,-0.0051,-0.0633,0.0161,0.006,0.1244,-0.0841,0.0051,0.0253,0.0265,-0.0664,-0.0082,-0.0205,0.0645,0.0047,0.0935,-0.0311,0.0037,0.0079,-0.004,-0.0123,0.0313,-0.0485,-0.0231,-0.0413,-0.0234,1.0,0.1315,0.1378,0.1379,-0.0145,-0.0202,-0.0102,-0.0146,-0.11,-0.11,-0.0537,-0.0637,-0.076,0.0168,0.0308,-0.0076,0.0543,0.0564,-0.0167,0.0851,-0.1238,-0.0485,-0.0021,-0.1731,1.0,-0.0145,-0.0325,0.0741,0.041,0.1065,0.0766,-0.0334,-0.0397,-0.1153,0.0242,-0.0318,-0.0451,0.1304,-0.0567,-0.0002,-0.0819,-0.0697,-0.0398,-0.082,-0.1275,-0.1365,-0.1291,-0.0469,-0.0248,-0.1572,0.2542,-0.0014,-0.0205,-0.1131,-0.1073,-0.0899,-0.1097,-0.19,-0.1974,-0.1321,0.0345,-0.0055,-0.0601,0.6396,-0.0252,-0.0243,-0.0876,-0.0822,-0.1004,-0.0881,-0.1769,-0.1703
Cum_FDD_P2,0.1916,0.2665,-0.0083,-0.2358,-0.1355,0.588,0.4193,0.6064,-0.0503,0.5228,-0.2727,-0.1965,0.018,0.2284,0.0987,-0.1055,0.3838,-0.2269,0.5253,-0.5247,0.5137,-0.4248,0.3259,-0.3528,-0.2789,-0.6078,-0.595,-0.5575,0.1315,1.0,0.9998,0.9998,0.2135,0.298,0.4329,0.3212,-0.3115,-0.2473,-0.2562,0.0456,-0.0239,0.2335,0.221,0.2682,0.2502,0.3522,-0.4195,-0.2995,-0.2639,-0.2789,-0.3091,-0.2458,0.1315,0.2135,0.158,-0.0306,-0.0654,-0.0474,0.0152,-0.1475,-0.2348,-0.9138,-0.6386,-0.6232,-0.6882,1.0,0.4793,0.3783,-0.4352,-0.2947,-0.4062,-0.3705,-0.737,-0.7225,0.1126,-0.2028,-0.4798,0.0787,0.2602,0.4852,0.517,-0.2934,-0.2055,-0.3194,-0.2524,-0.4313,-0.357,0.0205,-0.1116,-0.2522,-0.4124,0.1461,0.1936,0.1934,-0.1538,-0.1791,-0.158,-0.1253,-0.3425,-0.3646
Cum_FDD_P3,0.1923,0.2636,-0.0051,-0.234,-0.1363,0.5855,0.4177,0.6066,-0.0529,0.5197,-0.2707,-0.1946,0.0152,0.2254,0.0992,-0.1031,0.3809,-0.2234,0.5235,-0.5216,0.5112,-0.4222,0.3233,-0.3499,-0.2776,-0.6054,-0.593,-0.5554,0.1378,0.9998,1.0,1.0,0.2102,0.2947,0.4293,0.3177,-0.3132,-0.2497,-0.2576,0.0433,-0.0261,0.2336,0.2208,0.2678,0.2513,0.3528,-0.4191,-0.2959,-0.2672,-0.2776,-0.3067,-0.2489,0.1378,0.2102,0.1546,-0.0279,-0.0632,-0.0446,0.0173,-0.1445,-0.232,-0.9121,-0.6363,-0.6206,-0.6862,0.9997,0.4768,0.3764,-0.4346,-0.2943,-0.4061,-0.3704,-0.7366,-0.7222,0.1084,-0.2025,-0.4773,0.0745,0.2673,0.4819,0.5136,-0.2948,-0.2072,-0.321,-0.2543,-0.4344,-0.3608,0.0165,-0.1101,-0.2497,-0.4154,0.1498,0.1905,0.1901,-0.1557,-0.181,-0.1602,-0.1276,-0.3458,-0.3676
Cum_FDD_P4,0.1923,0.2635,-0.0051,-0.234,-0.1363,0.5855,0.4177,0.6066,-0.0529,0.5197,-0.2707,-0.1946,0.0152,0.2253,0.0992,-0.1031,0.3809,-0.2234,0.5235,-0.5215,0.5112,-0.4222,0.3232,-0.3499,-0.2776,-0.6054,-0.593,-0.5554,0.1379,0.9998,1.0,1.0,0.2102,0.2946,0.4293,0.3177,-0.3132,-0.2497,-0.2576,0.0433,-0.0261,0.2336,0.2208,0.2678,0.2513,0.3528,-0.4191,-0.2959,-0.2672,-0.2776,-0.3067,-0.2489,0.1379,0.2102,0.1546,-0.0279,-0.0632,-0.0446,0.0173,-0.1445,-0.232,-0.9121,-0.6363,-0.6205,-0.6862,0.9997,0.4768,0.3764,-0.4346,-0.2943,-0.4061,-0.3704,-0.7366,-0.7222,0.1084,-0.2025,-0.4773,0.0745,0.2673,0.4819,0.5136,-0.2948,-0.2072,-0.321,-0.2543,-0.4344,-0.3609,0.0165,-0.11,-0.2497,-0.4154,0.15,0.1905,0.1901,-0.1557,-0.181,-0.1602,-0.1276,-0.3458,-0.3677
Cum_VPD_P1,0.2858,0.8953,-0.2063,-0.7023,0.3246,0.4807,0.1136,0.0159,0.4367,0.5701,-0.0681,-0.5264,0.3991,0.4903,0.2291,-0.4784,0.8185,-0.4821,0.3254,-0.3262,0.511,-0.3124,0.3955,-0.435,-0.6487,-0.5376,-0.6378,-0.6965,-0.0145,0.2135,0.2102,0.2102,1.0,0.9666,0.8713,0.7002,0.2031,0.1967,0.5558,0.1568,0.2274,-0.0259,-0.117,-0.1346,0.0027,0.1135,-0.1996,-0.4996,0.5221,-0.6487,-0.8571,0.3496,-0.0145,1.0,0.7468,-0.2637,-0.0462,-0.339,-0.1352,-0.2376,-0.3212,-0.1501,-0.2631,-0.546,0.0094,0.2137,0.3299,0.2917,0.0534,0.1712,-0.0427,0.1426,0.0601,0.0926,0.5818,-0.3962,-0.534,0.5145,-0.0651,0.6165,0.5569,0.1688,0.2933,0.135,0.2404,0.1952,0.2435,0.1893,-0.4864,-0.4895,-0.1986,0.0598,0.4036,0.4623,0.1127,0.166,0.0119,0.2003,-0.0156,-0.0441
Cum_VPD_P2,0.2624,0.8639,-0.2225,-0.6784,0.3394,0.6239,0.1265,-0.0418,0.4469,0.6172,-0.1123,-0.5049,0.3561,0.472,0.2205,-0.4223,0.8276,-0.4857,0.4713,-0.3427,0.5582,-0.319,0.414,-0.4482,-0.6302,-0.6309,-0.6921,-0.7226,-0.0202,0.298,0.2947,0.2946,0.9666,1.0,0.9086,0.7091,0.1905,0.1733,0.4124,0.1708,0.2663,0.0706,-0.1321,-0.1443,0.0891,0.1523,-0.2502,-0.5053,0.4802,-0.6302,-0.8186,0.3369,-0.0202,0.9666,0.7326,-0.265,-0.0586,-0.3313,-0.141,-0.2352,-0.3155,-0.2004,-0.4115,-0.6379,-0.0149,0.2982,0.5404,0.4487,0.0341,0.1544,-0.0735,0.129,0.0334,0.0569,0.6313,-0.3592,-0.5589,0.5603,-0.0693,0.6495,0.6189,0.1648,0.2815,0.1379,0.2405,0.1829,0.2338,0.2107,-0.4196,-0.4559,-0.2418,0.0459,0.3993,0.4593,0.0849,0.1281,0.0054,0.1655,-0.0245,-0.0565
Cum_VPD_P3,0.2683,0.8671,-0.2427,-0.4886,0.3139,0.7382,0.3114,0.1723,0.4282,0.8683,-0.2828,-0.7056,0.418,0.6805,0.1673,-0.5827,0.8702,-0.5462,0.6017,-0.4761,0.8064,-0.4875,0.6456,-0.5707,-0.4543,-0.5988,-0.7569,-0.8252,-0.0102,0.4329,0.4293,0.4293,0.8713,0.9086,1.0,0.886,0.1203,0.0923,0.214,0.0879,0.1727,-0.1349,-0.007,-0.0319,0.1423,0.2933,-0.43,-0.6226,0.3203,-0.4543,-0.7871,0.2935,-0.0102,0.8713,0.7782,-0.2304,-0.0722,-0.2703,-0.1183,-0.2384,-0.3305,-0.4382,-0.5141,-0.7895,-0.2723,0.4331,0.555,0.4909,-0.0364,0.0753,-0.1358,0.0573,-0.1128,-0.1255,0.6711,-0.5605,-0.8204,0.6302,-0.0586,0.903,0.8501,0.0367,0.1561,0.0214,0.1147,0.0334,0.0941,0.3965,-0.5613,-0.6666,-0.2379,0.0437,0.6174,0.6565,0.0517,0.0721,-0.0421,0.109,-0.1807,-0.2217
Cum_VPD_P4,0.2273,0.7472,-0.207,-0.3248,0.295,0.6976,0.3174,0.2577,0.416,0.8821,-0.2982,-0.727,0.5367,0.9116,0.1354,-0.764,0.7839,-0.5297,0.562,-0.4811,0.8368,-0.509,0.867,-0.5796,-0.2936,-0.4102,-0.6154,-0.7446,-0.0146,0.3212,0.3177,0.3177,0.7002,0.7091,0.886,1.0,0.1095,0.0736,0.0819,0.061,0.1224,-0.2851,0.0228,-0.0436,-0.1201,0.3351,-0.4858,-0.6455,0.2532,-0.2936,-0.638,0.2862,-0.0146,0.7002,0.7277,-0.1781,-0.0175,-0.173,-0.0841,-0.1594,-0.2169,-0.4129,-0.3837,-0.7281,-0.2764,0.3214,0.4017,0.4941,-0.0159,0.0764,-0.0886,0.0622,-0.113,-0.1363,0.5876,-0.5994,-0.8452,0.5812,-0.0598,0.9064,0.8601,0.03,0.1258,0.0247,0.0938,0.002,0.0466,0.5664,-0.7271,-0.8682,-0.1403,0.0376,0.898,0.9019,0.0843,0.0974,-0.047,0.1339,-0.1961,-0.2412
Delta_NDVI_P2,-0.4571,0.1676,-0.4855,-0.0553,0.7472,-0.0348,0.3119,-0.3286,0.6629,0.0027,0.4495,-0.0747,0.4081,0.0913,0.3238,-0.1394,0.0989,-0.4684,-0.0414,0.4191,-0.0188,0.2923,0.0213,0.0728,-0.0226,0.0108,0.0171,-0.0113,-0.11,-0.3115,-0.3132,-0.3132,0.2031,0.1905,0.1203,0.1095,1.0,0.822,0.2128,0.0591,0.295,-0.0889,-0.3903,-0.381,-0.0945,-0.1492,0.0939,-0.1493,0.2278,-0.0226,-0.1077,0.3682,-0.11,0.2031,0.2123,-0.611,-0.3866,-0.5278,-0.559,-0.1289,-0.1136,0.292,0.0289,0.0294,0.2067,-0.3114,0.0223,-0.0132,0.7942,0.7484,0.6496,0.8018,0.4837,0.4803,0.2222,-0.0021,0.0058,0.2892,-0.2081,0.0273,0.0103,0.6933,0.6614,0.7017,0.7067,0.4363,0.4298,0.141,-0.1205,-0.0605,0.125,-0.1007,0.0786,0.1104,0.4703,0.4859,0.4779,0.4849,0.3531,0.3413
Delta_NDWI_P2,-0.4581,0.1268,-0.4912,-0.0759,0.5779,-0.075,0.2082,-0.2293,0.5875,-0.0225,0.3731,-0.0121,0.3526,0.0579,0.2592,-0.1398,0.0579,-0.4052,-0.1076,0.2974,-0.0666,0.3024,-0.0193,0.1081,-0.0414,0.0515,0.0851,0.0511,-0.11,-0.2473,-0.2497,-0.2497,0.1967,0.1733,0.0923,0.0736,0.822,1.0,0.2096,0.1628,0.1297,-0.0675,-0.3624,-0.3716,-0.1412,-0.1808,0.158,-0.0929,0.2427,-0.0414,-0.0603,0.372,-0.11,0.1967,0.1908,-0.5807,-0.4038,-0.6511,-0.5425,-0.1668,-0.1588,0.2501,0.1046,0.0789,0.1876,-0.2472,-0.0159,-0.0353,0.6027,0.6007,0.7485,0.6344,0.4121,0.4341,0.2809,0.0819,0.0532,0.3393,-0.2607,-0.001,0.0024,0.6392,0.5938,0.6576,0.6502,0.4608,0.4678,0.1765,-0.115,-0.0253,0.1969,-0.0993,0.0534,0.0741,0.4355,0.4464,0.4396,0.4397,0.4063,0.3961
