feature,spearman_r,mean_SHAP
P1_GDD,0.5915,195.244598
Cum_VPD_P4,0.7545,108.445381
P4_WUE,0.8551,98.673073
P4_NDWI,0.895,56.442799
P3_VPD,0.8434,55.026257
P3_PPT,-0.8181,32.001766
P4_PPT,0.1219,26.079416
P3_EVI_max,0.7619,24.731457
P3_WUE,0.904,24.632374
Delta_SM_P3,-0.7607,21.457214
P3_Hydrothermal_Balance,-0.7278,18.194746
P4_NIRv,0.9292,18.171793
P1_EVI,-0.7426,18.103874
P1_EVI_max,-0.7272,17.994625
P4_EVI_max,0.8206,17.876266
