Test_Year,Used_Features,R2,RRMSE(%),d-index,MAPE(%),RMSE,MAE,Best_Params
2016,37,0.229,13.428,0.691,8.823,833.439,538.655,"{'max_depth': 8, 'colsample_bynode': 0.3443451143721597, 'subsample': 0.9522783475749577}"
2017,56,0.243,13.281,0.663,11.096,844.113,665.573,"{'max_depth': 11, 'colsample_bynode': 0.39812483746799443, 'subsample': 0.9173111115330399}"
2018,44,0.461,11.581,0.791,9.07,696.014,496.198,"{'max_depth': 11, 'colsample_bynode': 0.30041089963087536, 'subsample': 0.9033579335644117}"
2019,46,0.401,12.122,0.716,9.359,749.826,520.353,"{'max_depth': 12, 'colsample_bynode': 0.30296398856064577, 'subsample': 0.9807247141692956}"
2020,44,0.227,11.301,0.72,9.291,690.133,504.668,"{'max_depth': 10, 'colsample_bynode': 0.46622318878109303, 'subsample': 0.9914906636326861}"
2021,38,0.433,11.035,0.728,9.008,670.827,478.499,"{'max_depth': 6, 'colsample_bynode': 0.4377371495855725, 'subsample': 0.9934556669920707}"
Overall_Pooled,N/A,0.345,12.189,0.717,9.442,750.517,533.983,N/A
